ID,Name,Designator,Footprint,Quantity
1,0.1uF,C3,C0805,1
2,X4611WV-05I-C28D40,"H1, H3",HDR-TH_5P-P2.00-V-M,2
3,BC847,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,8
4,100R,"R3, R4, R11, R12",R0805,4
5,220R,"R5, R6, R13, R14",R0805,4
6,10k,"R1, R2, R7, R8, R9, R10, R15, R16",R0805,8
7,CD4070BM,U3,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1
8,TLV2774INE4,U4,SO14,1
9,CD4081BM,U2,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1
10,THONKICONNNEW,"CLOCK, NOISE, VOLTS, BIT1, BIT1-CV, BIT1-NOT, BIT2, BIT2-CV, BIT2-NOT, BIT3, BIT3-CV, BIT3-NOT, BIT4, BIT4-CV, BIT4-NOT",THONKICONN-TIGHT,15
11,B100K,"CV-1-POT, CV-2-POT, CV-3-POT, CV-4-POT",9MM_SNAP-IN_POT_3,4
12,LED_2X5MM_BICOLOR-CMN-CAT,"LED1, LED2, LED3, LED4",KINGBRIGHT-WP119EGWT-2X5-BICOLOR-LED,4
13,X4611WV-04I-C28D40,H2,HDR-TH_4P-P2.00-V-M,1
